일자,코스피,코스피200,코스피200건설,코스닥,다우존스,s&p500,상해종합,니케이,원달러환율,금현물,원유현물,수출액,수입액,생활물가지수,소비자물가지수(주택수도전기연료),소비자심리지수,경기도 부동산시장 소비자심리지수,경기도 주택매매시장 소비자심리지수
2012/8,1881.99,250.08,533.66,467.61,13008.68,1379.32,2103.63,8695.06,1130,1600,88.06,44667681,41976900,97.897,94.687,98.5,97,92.8
2012/9,1905.12,250.56,557.23,508.35,13090.84,1406.58,2047.52,8839.91,1132.5,1691,96.47,43045181,41115675,98.585,95.076,98.9,102,96.1
2012/10,1996.21,262.49,575.73,523.78,13437.13,1440.67,2086.17,8870.16,1113,1766,92.19,45412538,42559535,99.607,95.102,96.9,106.6,98.4
2012/11,1912.06,250.18,485.27,508.31,13096.46,1412.16,2068.88,8928.29,1091,1720.4,86.24,47087760,43379893,99.245,95.37,98.2,108.3,101.1
2012/12,1932.9,254.25,493.15,499.37,13025.58,1416.18,1980.12,9446.01,1082.7,1715.5,88.91,47805246,43381537,98.594,95.473,98.4,101.8,95.8
2013/1,1997.05,263.92,521.98,496.32,13104.14,1426.19,2269.13,10395.18,1066,1676.4,91.82,44875311,43069109,98.715,95.785,97.3,98.6,96.2
2013/2,1961.94,258.07,512.42,503.67,13860.58,1498.11,2385.42,11138.66,1088,1665.2,97.77,45673109,45296942,99.459,96.338,100.8,105.9,96.7
2013/3,2026.49,268.01,511.63,535.87,14054.49,1514.68,2365.59,11559.36,1088,1578.5,90.68,42331837,40458472,99.923,96.804,100.1,113.3,105.8
2013/4,2004.89,263.39,494.74,555.02,14578.54,1569.19,2236.62,12397.91,1114,1598.1,97.07,47312704,43976739,99.682,97.444,103.2,111.9,110.7
2013/5,1963.95,255.72,402.13,563.87,14839.8,1597.57,2177.91,13860.86,1099.6,1475.6,91.03,46157925,43648241,99.477,97.513,100.5,114.5,115.4
2013/6,2001.05,261.47,440.23,577.87,15115.57,1630.74,2300.59,13774.54,1130,1388.8,93.45,48307560,42389874,99.133,97.721,103,112.7,113.2
2013/7,1863.32,242.27,384.92,519.06,14909.6,1606.28,1979.21,13677.32,1142,1232.9,97.99,46690983,40719394,98.891,97.755,103.8,107.4,107
2013/8,1914.03,247.99,402.04,554.31,15499.54,1685.73,1993.8,13668.32,1119,1323.4,107.89,45829521,43384403,98.975,97.876,103.5,110.9,103.5
2013/9,1926.36,251.74,403.75,516.74,14810.31,1632.97,2098.38,13388.86,1108,1394,107.65,46311341,41593821,99.644,98.161,103.8,120.4,115.2
2013/10,1996.96,260.91,437.08,534.89,15129.67,1681.55,2174.66,14455.8,1076,1328.2,102.04,44650486,41055405,99.821,98.222,100.3,126.5,130.5
2013/11,2030.09,266.91,419.32,532.44,15545.75,1756.54,2141.61,14327.94,1065,1323.1,94.61,50480484,45604963,99.282,98.395,105.5,126.2,128.6
2013/12,2044.87,269.57,398.11,517.06,16086.41,1805.81,2220.5,15661.87,1057.6,1250.6,93.82,47905028,43106074,99.068,98.835,107.1,117,119.5
2014/1,2011.34,264.24,384.23,499.99,16576.66,1848.36,2115.98,16291.31,1050.4,1204.5,95.44,47981456,44351186,99.245,99.026,106.3,111,113.4
2014/2,1941.15,252.89,382.77,515.2,15698.85,1782.59,2033.08,14914.53,1081,1242,96.43,45559632,44746013,100.035,99.95,109,124.3,127.3
