region,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
강원도,6089964,6656109,6774502,7306375,7147283,7970091,8252250,8458579,8964353
경기도,13342401,13286121,13705601,13970981,14987980,15959704,16582067,19229504,19727782
경상남도,11660903,13529165,13890272,13644062,12495329,11569224,10877289,11321630,12639328
경상북도,0,0,0,0,0,0,0,0,0
광주광역시,10058948,10315549,10695869,12004197,12409762,14184691,16090945,17356589,18929916
대구광역시,8301067,8556268,10916830,11993023,12031932,12660126,16867372,15188047,19795528
대전광역시,0,0,0,0,0,0,0,0,0
부산광역시,9163691,9452429,12600230,16102570,19119596,21581027,21145368,22229441,24535092
서울특별시,21969200,21710221,22559040,23211706,24630223,28194157,30760228,39933305,41473816
세종특별자치시,9761685,10154115,11430832,11165061,12426776,13579189,16442972,19884256,25881093
울산광역시,11149114,10863360,11122571,11679372,11567763,10959217,10379242,9639468,12210540
인천광역시,11279841,11079531,12181646,12230215,12869191,13067851,13195499,13274438,14471554
전라남도,7755451,7952787,8224357,8632487,9517305,10120398,11062476,12153321,13014264
전라북도,0,0,0,8541283,8735938,10791540,10003787,10545661,11746038
제주특별자치도,0,0,0,0,0,0,0,0,0
충청남도,8519745,8455318,8416442,8627553,8394105,9821946,9903048,10734923,11334529
충청북도,6897823,8238288,8793960,8811443,9116578,9057359,8322880,8041334,8642541
