region,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
강원도,34,44,44,61,51,43,65,70,52
경기도,459,1696,2270,2647,2078,2118,2685,2541,2589
경상남도,4,23,80,80,93,72,157,335,367
경상북도,0,0,0,0,0,0,0,0,0
광주광역시,43,26,32,19,222,384,375,285,232
대구광역시,88,213,98,95,56,89,102,90,92
대전광역시,0,0,0,0,0,0,0,0,0
부산광역시,45,182,85,1052,489,215,252,392,287
서울특별시,330,1456,1523,2280,2564,2557,2105,1930,1184
세종특별자치시,6,7,21,94,126,184,171,392,203
울산광역시,69,163,206,190,118,134,86,167,120
인천광역시,234,531,1023,970,825,717,613,796,819
전라남도,15,254,50,103,117,123,124,92,85
전라북도,0,0,0,204,55,64,30,38,57
제주특별자치도,0,0,0,0,0,0,0,0,0
충청남도,19,49,54,61,43,100,129,258,256
충청북도,66,76,83,99,73,44,32,59,70
