region,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
강원도,6465095,7074002,7250960,7426996,8619124,10381692,11314162,10238662,11358803
경기도,13036535,11417251,13039280,14787668,15698581,15909431,16287429,18280776,18319323
경상남도,8122420,8529985,8089422,8415689,8878402,8928563,9304985,10749417,11787613
경상북도,8830888,8814264,8525089,8903110,9279923,9315884,9151955,10986920,12544072
광주광역시,7345022,7679655,8430480,10014987,9753359,9810347,10525479,11292471,10959039
대구광역시,8583699,8863110,10977041,12154845,13224278,14155718,15300286,16648230,16378163
대전광역시,0,0,0,0,0,0,0,0,0
부산광역시,10930125,10844429,11330428,11872258,13209165,14363002,14286778,15785436,17022813
서울특별시,22205397,22417828,23407774,23887212,25220645,28424578,31236775,37478582,40127734
세종특별자치시,0,0,0,0,0,0,0,0,0
울산광역시,11624678,10895320,11508873,12097141,12993283,13464975,12814064,12035299,13429957
인천광역시,10717174,11787212,14393215,13225107,14223749,14612187,15913247,16892566,19246930
전라남도,8504144,7851291,8124193,8029975,8482965,9587084,11162732,11809942,12465482
전라북도,7510628,6877965,7013780,7206803,7156108,6754877,7000000,6724761,6926385
제주특별자치도,0,0,0,0,0,0,0,0,0
충청남도,8108182,7914968,8510364,8966716,8776506,8325057,8100039,7854197,8040662
충청북도,7740454,7493875,7486069,8724882,9032697,8797854,9710734,9641425,11160615
