region,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
강원도,61,89,94,125,158,108,133,167,308
경기도,170,409,694,1617,1161,1002,1398,1362,1649
경상남도,16,59,94,104,54,59,287,139,140
경상북도,5,7,12,21,11,10,12,93,117
광주광역시,27,69,112,73,74,81,90,82,59
대구광역시,640,1313,797,778,369,761,750,624,414
대전광역시,0,0,0,0,0,0,0,0,0
부산광역시,456,1500,1905,2319,2147,1158,1003,1723,1416
서울특별시,288,929,1049,1639,1669,1637,1347,1279,767
세종특별자치시,0,0,0,0,0,0,0,0,0
울산광역시,94,243,242,261,151,113,90,186,183
인천광역시,81,313,531,403,296,321,361,417,402
전라남도,23,54,78,110,133,93,68,72,74
전라북도,2,16,25,26,14,18,10,19,9
제주특별자치도,0,0,0,0,0,0,0,0,0
충청남도,197,484,358,261,125,141,136,159,150
충청북도,54,101,89,87,63,85,457,254,397
