region,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
강원도,6953327,6719189,6996597,7301921,7879927,8390000,9960774,10297607,10419113
경기도,12317257,12835762,13262258,14146030,15030926,16609604,17187648,17890422,18524093
경상남도,8972833,9178008,9510955,9991416,10377447,10574611,11080551,10972761,11625285
경상북도,7985657,8699260,9430485,9653580,9350804,9281422,9116952,9495687,9634937
광주광역시,9447889,9955016,10612557,11512458,12358420,13292842,15490842,18295093,18878699
대구광역시,8763730,9383028,10632620,12610376,12628118,13103938,14151080,14724294,14919303
대전광역시,9720102,10025952,10324740,11017950,11514856,12276621,12810128,13371615,15192554
부산광역시,11580280,11546335,12026356,14121472,16213124,17397809,14963795,18782982,20697370
서울특별시,18770545,18443626,19550493,21068774,23920456,27322004,30128505,39261913,38867329
세종특별자치시,7228420,7167473,7936757,8868726,9870014,11085167,11240308,11453555,13874856
울산광역시,12401996,12247891,11919556,12957135,14391479,13435075,12505102,12809475,14092919
인천광역시,12761442,12123743,13723383,14018927,15272393,15876060,16494937,17630555,18991160
전라남도,7292200,7206071,7240179,7918254,8229456,8794710,8511820,7886423,7513801
전라북도,7295222,7806906,7209349,7745038,8291793,8460674,9370044,10808724,12073276
제주특별자치도,0,0,0,0,0,0,0,0,0
충청남도,9096749,9110546,9473019,9775688,9835865,9719339,10796475,12013388,13154495
충청북도,9836580,9671849,10823004,11052719,10547171,10474120,10108791,9605187,10479848
