region,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
강원도,6,22,27,27,30,17,44,71,74
경기도,794,2480,3350,3500,2996,3004,3833,4932,5564
경상남도,351,1096,1272,1307,945,749,795,1321,953
경상북도,187,468,431,353,224,290,274,587,540
광주광역시,9,26,46,27,23,28,20,20,8
대구광역시,377,1095,1028,671,403,870,800,573,411
대전광역시,36,89,95,91,148,122,156,210,111
부산광역시,65,314,392,677,586,398,590,600,570
서울특별시,433,1315,1945,2583,2700,2777,2196,2060,1181
세종특별자치시,45,96,105,192,313,389,232,348,383
울산광역시,336,927,834,865,481,516,429,835,526
인천광역시,373,502,849,779,1033,679,634,1003,988
전라남도,7,18,34,56,44,50,23,12,28
전라북도,4,15,11,12,11,8,25,91,99
제주특별자치도,0,0,0,0,0,0,0,0,0
충청남도,351,738,610,490,295,428,582,918,724
충청북도,175,485,466,272,279,297,294,463,633
