region,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
강원도,0,0,0,0,0,0,0,0,0
경기도,550,2003,2127,2614,2645,2742,2893,2574,1961
경상남도,0,0,0,0,0,0,0,0,0
경상북도,0,0,0,0,0,0,0,0,0
광주광역시,0,0,0,0,0,0,0,0,0
대구광역시,481,745,592,570,332,526,531,511,300
대전광역시,43,159,142,200,203,136,126,225,89
부산광역시,0,0,19,40,45,43,45,204,156
서울특별시,802,3338,4420,6324,6668,6873,4598,4979,2666
세종특별자치시,2,10,47,81,122,121,93,91,58
울산광역시,34,97,105,100,71,44,50,81,78
인천광역시,50,251,306,337,291,273,329,291,189
전라남도,0,0,0,0,0,0,0,0,0
전라북도,0,0,0,0,0,0,0,0,0
제주특별자치도,0,0,0,0,0,0,0,0,0
충청남도,0,0,0,0,0,0,0,58,0
충청북도,10,41,63,31,39,27,37,32,21
