region,ym201208,ym201209,ym201210,ym201211,ym201212,ym201301,ym201302,ym201303,ym201304,ym201305,ym201306,ym201307,ym201308,ym201309,ym201310,ym201311,ym201312,ym201401,ym201402,ym201403,ym201404,ym201405,ym201406,ym201407,ym201408,ym201409,ym201410,ym201411,ym201412,ym201501,ym201502,ym201503,ym201504,ym201505,ym201506,ym201507,ym201508,ym201509,ym201510,ym201511,ym201512,ym201601,ym201602,ym201603,ym201604,ym201605,ym201606,ym201607,ym201608,ym201609,ym201610,ym201611,ym201612,ym201701,ym201702,ym201703,ym201704,ym201705,ym201706,ym201707,ym201708,ym201709,ym201710,ym201711,ym201712,ym201801,ym201802,ym201803,ym201804,ym201805,ym201806,ym201807,ym201808,ym201809,ym201810,ym201811,ym201812,ym201901,ym201902,ym201903,ym201904,ym201905,ym201906,ym201907,ym201908,ym201909,ym201910,ym201911,ym201912,ym202001,ym202002,ym202003,ym202004,ym202005,ym202006,ym202007
강원도,5119250,5095286,4998207,4991621,4938578,5095420,5105624,4545184,5075322,5206455,4743145,5453632,5226079,5279379,5453483,5112637,5088325,5432605,5467565,5188477,5017241,5084694,5216803,5055512,5257815,5220244,5351954,5344474,5464185,5663355,5468004,5637574,5500668,5705892,5617176,5667416,5789518,5763928,5849906,5808403,5926285,6105281,6047164,6190989,6144568,6165921,6275583,6570709,6392111,6559369,6501823,6101450,6479619,6609619,6568986,6459235,6432462,6587365,6673240,6651310,6634122,6908522,6638677,6556908,6681872,6761278,6692097,6588814,6560560,6572445,6377182,6545825,6498462,6610167,6615999,6417471,6696168,6389054,6477251,6274341,6355291,6321601,6440439,6303971,6424586,6380112,6506124,6513893,6946799,6742633,6690813,6620664,6526321,6865083,7441503,7147556
경기도,9775160,10125170,10421214,10398610,10409208,10238318,10351601,10466027,10549645,10484097,10679478,10444586,10791428,11070831,10958302,10960037,11097653,11449377,11185457,10871143,10739597,10775546,10984000,11163133,11350114,11407029,11273910,11359522,11587846,11604402,11666238,11628129,11658487,11768934,11800422,11997505,11787075,12216677,12294506,12296881,11918455,11886693,11953063,12082507,12581909,12598725,12982761,12913418,12903782,13238463,13369150,12965016,12660122,12868969,12941144,12899209,13430953,14139915,14045430,14558502,13607959,13961234,14008541,14264139,15282942,16152946,15216687,14209555,13510896,13586903,13875476,14550921,16866949,14743929,13609986,13177168,13059189,12633715,12435091,12464031,13004793,14091682,15511062,16089927,15438369,15745229,16601336,17185471,16412237,15685046,15325904,14077135,13613289,14859319,17084424,17185610
경상남도,6881622,7086819,7188409,7023321,6989572,7291461,7225936,7359711,7608994,7496668,7318574,7249261,7602378,7876559,7951299,7798642,7828765,7830667,7926617,8001503,7897091,7982818,8054454,8145612,7765493,8368487,8336778,8263332,8086355,8197131,8182910,8170313,8163887,8240581,7638691,8238252,8138566,8339981,8468282,8288746,8037823,7942878,7982311,7907816,7942485,7890820,7925452,8113188,8212704,8468980,8502817,8041317,8249959,8192548,8087574,7838021,7854376,7910352,7973032,8292005,7883906,8223255,8392725,8128688,8166151,8332552,8238137,8024356,7867195,8013438,7612289,7640963,7917998,8247737,8124006,7497555,7872541,7834843,7763339,7838222,7655298,7947747,7871755,8118422,8105536,8042605,9037953,9391425,8759668,9078625,8667616,8114775,8141990,8940838,10604776,9793935
경상북도,5103845,5202156,5234563,5226411,4992737,5261965,5331156,5312663,5281205,5470917,5388157,5304004,5638479,5713463,5807762,5832895,5839528,5773024,5831489,5795042,5984513,5917004,5794240,5976259,6142518,6111010,6270166,6204564,6366852,6305713,6406922,6379558,6421032,6334588,6432816,6396126,6349040,6449275,6376430,6225172,6220928,6071494,5983272,6026737,5981593,5811030,6092473,6162692,6066657,6275548,6499692,6344186,6416302,6373806,6273282,6183758,6147027,6108056,6228483,6508309,6572101,6469853,6055804,6153296,6462744,6297391,6407635,6310497,6046582,6006915,6379555,5999985,6190929,6279788,6005109,6050154,6311386,5864517,5651418,6084290,5887581,6291316,6135189,6632206,6237670,6554447,6669935,6807977,6744104,6796241,6780109,6594742,6362860,7034261,7428216,6831766
광주광역시,5988665,6194381,6151116,6209057,6204378,6202909,6242817,6222630,6185710,6224599,6248309,6380135,6425417,6382577,6594771,6645755,6823619,6707665,6749157,6720464,6732360,6724990,6792523,7033381,7090777,7270412,7218449,7299738,7393588,7310529,7411423,7352530,7437360,7533032,7672304,7602374,7909838,8055341,8049863,8030484,8146224,8037715,8156464,8050493,7879031,7999298,8007854,8128156,8110221,8256967,8461628,8314536,8435204,8494527,8315036,8572486,8489047,8640364,8739460,8698813,8710011,8836548,8889961,8955015,9144503,9062277,9067387,9023764,8978347,9154749,9244088,9227759,9648752,9749287,9074190,9108077,9083059,9089465,8788014,8929905,8945331,8918120,9519314,9483278,9758209,9916778,9712906,9993954,10268687,10447595,10017985,9695587,9420916,9720282,10538647,10454689
대구광역시,7482722,7672230,7678458,7692953,7567545,7787475,7709018,7733504,7950864,8009496,8064804,8091212,8364759,8541106,8576100,8783283,8758911,8904061,8767173,8876563,8842418,8890646,9137745,9350418,9495666,9535671,9753985,9924043,10045906,10114421,10127149,10324159,10316320,10533002,10754994,10754802,10805270,11180766,10955112,10710701,10275504,10436984,10457616,10360156,10136198,10017073,10224304,10376643,10777833,11132585,11040173,10954161,10624720,10343356,10398619,10585471,10563690,11013598,11612615,12219131,11617441,11302709,11124175,11467336,11679135,11986159,12409396,11903340,11568687,11556363,10835918,11516214,12272997,12754107,12030314,11418351,11478241,10955009,10491059,10885600,10960001,11106293,11978428,11685493,11940301,12183044,12452985,13108171,12951174,12601337,12400786,10390903,11702270,12059514,13253109,13729267
대전광역시,7555288,7867073,8061890,8061391,8194041,7936135,8274393,7905356,7905723,8058335,8165551,8109399,8223084,8249827,8405919,8541715,8727508,8488805,8257716,8241098,8226236,8262800,8280844,8255465,8310166,8460988,8529652,8570644,8629081,8662476,8456312,8204185,8164720,8286347,8256955,8458553,8448968,8360115,8552390,8694187,8878669,8579546,8761370,8350681,8487915,8594219,8679881,8569608,8818947,8963030,8983020,9092074,8984139,9136378,8833919,8636830,8736920,8838479,9048021,9141693,9300521,9532476,9395111,9283524,9737603,9549359,9359216,9374205,9278933,9150523,9469337,9545463,10550446,10630363,10416667,10079705,9626166,9596295,9339007,9430631,9850020,10020387,10219921,10609909,10745420,10898495,11066117,11498263,11540035,11248709,11277791,11161933,10413735,11656896,13240731,11865328
부산광역시,8729204,8609064,9264729,9021650,8904135,8480117,8461140,8468690,8746945,8456800,8608880,8661867,8788173,8785197,8746342,8840928,9012916,9101333,8786025,9085410,8970422,8964887,8978123,9201026,9292515,9296305,9355302,9454868,9632625,9579576,9585405,9608234,9699897,9769365,9996465,10244255,9997884,10093223,10155301,10375086,10035849,10085524,10221280,10075841,10509521,10699315,10966946,11186088,11552554,11631059,11684426,11334547,11458569,11352085,11572331,11437376,11727557,11783786,11965392,11837788,11731051,11962939,11680762,11632720,12187171,12220760,12093469,11832403,11442839,11614092,11504349,11390511,11535384,12356831,11812941,11751138,11586869,11669328,11792228,11580544,11621776,11717430,12013097,12090736,12522824,12611236,13365527,15005222,13940123,13291662,13317158,12725565,12591612,13319133,15425615,14546673
서울특별시,18052436,18772325,18865725,19119211,19369297,19406076,19472246,18847519,18981343,18614570,18236518,17243728,17739808,17977761,18344724,18939886,19932090,19599782,19570747,18325263,18606049,18666166,18914401,19256460,19493437,19346833,19372206,18913321,19852343,19570320,19592588,19611008,20009924,20172263,19799237,20031583,19714250,20760269,21406766,22075415,20844513,20419975,20417413,21221374,22609248,23005988,22635341,22011076,22790121,22954072,22876437,21586068,22323902,22893998,23360092,23616271,24701088,25821655,23892036,25391716,23465641,26361148,26569138,28634115,28682835,28123865,25465708,24656464,24765326,24866553,25125687,28782591,29296340,28795586,27430848,27372426,26819237,27424272,28125282,29752661,32351946,35306831,36251738,35687008,33820522,35556795,35145037,35061357,33287420,29839420,30966240,30166635,31400136,34549971,36845043,35727948
세종특별자치시,5695279,6361043,6423996,6347730,6170538,5688832,6189864,5881194,5924617,6168039,5766148,5818188,6071727,6433662,6548513,6439700,7219129,7084107,7272860,7196366,6816718,6875916,7084984,7090877,8457606,7488745,7806237,7769845,7554124,8387194,9292235,9366486,9257669,9217884,8950297,9007595,8479492,9439923,9070039,8822676,9060235,9064720,9932845,9660027,9344616,9175328,10169816,10631853,10635473,10771596,11547861,11334771,10546889,10539088,10349883,10402945,11236661,12038511,12603835,13042073,11410396,10935868,11513907,10945097,10131655,11563625,13251177,13366590,12871049,13126525,12877821,13038716,12814852,13481285,12769804,13470517,12875779,12677144,12026928,12014856,13340280,12832988,14042547,14268772,13972839,14611402,15143114,16505586,17271520,15885289,17320983,15240895,14011986,15773361,18738289,19816000
