region,apt_size,ym201208,ym201209,ym201210,ym201211,ym201212,ym201301,ym201302,ym201303,ym201304,ym201305,ym201306,ym201307,ym201308,ym201309,ym201310,ym201311,ym201312,ym201401,ym201402,ym201403,ym201404,ym201405,ym201406,ym201407,ym201408,ym201409,ym201410,ym201411,ym201412,ym201501,ym201502,ym201503,ym201504,ym201505,ym201506,ym201507,ym201508,ym201509,ym201510,ym201511,ym201512,ym201601,ym201602,ym201603,ym201604,ym201605,ym201606,ym201607,ym201608,ym201609,ym201610,ym201611,ym201612,ym201701,ym201702,ym201703,ym201704,ym201705,ym201706,ym201707,ym201708,ym201709,ym201710,ym201711,ym201712,ym201801,ym201802,ym201803,ym201804,ym201805,ym201806,ym201807,ym201808,ym201809,ym201810,ym201811,ym201812,ym201901,ym201902,ym201903,ym201904,ym201905,ym201906,ym201907,ym201908,ym201909,ym201910,ym201911,ym201912,ym202001,ym202002,ym202003,ym202004,ym202005,ym202006,ym202007
강원도,under_50,4100543,3831493,3749504,3873928,3737606,4051133,4125851,3501822,4141870,4197801,3644339,4632064,3735810,4049809,4101953,3882300,4287115,4109369,4312683,4174119,4283858,4151629,4330529,4550700,4355736,4107258,3837041,3957591,3684707,4313524,4115462,4412919,4259936,4514452,4296389,4444297,4573408,4367956,4528817,4705376,4710848,4818595,4879480,4917509,5077426,4891420,5049260,5496871,5198207,5193348,5018747,4620336,5498852,5400499,5195531,5159636,5164171,5269722,5330600,5352226,5223979,5416362,5292118,5339499,5287003,5455982,5385763,5119079,5450045,4981032,5072566,5124125,4777162,5123949,4936951,4986294,5877007,5063730,5852363,4837773,4711180,4687897,4883448,4670633,4968570,4455815,4609876,4507726,4878141,4839482,4811668,4842320,4779160,4757371,5144811,5051655
강원도,50_60,4728273,5033243,4992276,5113644,5237412,4998976,4990708,5196714,5011565,5211553,5049142,5403351,5291049,5163179,5366462,5255264,4968951,5481524,5328052,5249339,4892259,5223842,5271209,4965076,5330279,5391554,5457066,5485395,5406959,5575816,5436997,5572208,5522166,5649870,5561660,5494663,5631652,5710958,5695908,5812690,5922915,6074069,5852740,6161396,5844239,6096773,6207740,6328536,6150514,6520342,6465471,6710354,6625683,6603969,6699769,6568171,6720216,6761822,6950836,6800411,6779161,6917831,6639067,6527427,6431011,6623355,6557649,6427717,6476443,6633607,6500181,6696391,6391691,6557119,6654026,6209137,6352507,6176311,6070607,6117894,6157817,5872807,6314634,6070279,6084724,6094348,6147934,6077098,6311076,6179900,6206069,6134343,6256045,6416735,6957298,6646247
강원도,60_85,5917922,5619339,5654734,5634440,5596408,5741708,5702146,5694701,5744889,5799722,5630163,5996253,6104396,5997392,6143569,6020783,6078611,6015036,6196439,5834963,5742386,5739405,5889788,5659944,6053748,5571706,6177767,6087430,6277255,6344410,6216063,6289811,6091912,6403794,6471285,6514075,6678905,6616465,6741583,6192354,6705827,6769407,6853109,6914981,6974209,6999147,7038740,7319157,7356017,7270800,7305521,7023882,7066496,7456371,7345983,7296257,7434449,7345331,7518326,7334344,7455933,7732040,7011431,7202812,7672064,7700561,7554806,7581358,7392193,7398806,6625904,7324116,7499040,7439835,7589743,7392076,7414427,7373926,7121772,7153748,7168047,7301473,7188353,7233505,7490253,7487458,7440279,7533972,7818561,7743580,7781692,7772065,7471970,8151192,8636073,8380033
강원도,85_100,6161315,6335932,6578804,5530117,5502024,5109969,6811836,5803805,5953600,5880186,5635393,6620157,5805070,6313851,6569730,6282230,6025086,6366613,7069772,6646281,5985736,6078008,5730979,6285487,6700746,6026974,6865096,6185721,6507522,6037048,6729397,6390746,6177070,7476378,6583912,6844548,7053539,6413778,6460463,6394710,7060282,6986729,6537034,7190219,6989121,7630480,7365781,6714323,7439920,7286399,7925816,7837946,7900371,6354698,7859899,7097245,7612601,8168751,7249783,7013659,9210886,7736867,9188492,7753233,9151866,7982086,9538960,8854724,8012845,8887553,5642207,8484465,8595605,7967183,6384525,10171425,8353876,7884477,9092400,6480491,7353895,6864679,5348188,6241887,6376819,7374808,9244756,7601284,7844000,7154628,8538528,7811454,7690386,7502829,9096376,9367920
강원도,100_135,6243071,6183028,6017450,5996006,5928819,5933961,5736283,5676785,6225783,5896650,5803484,5806102,6033519,5998131,6072973,5750554,5501884,6416330,5912391,5950942,5958312,6000980,5887231,6104507,6344449,6182073,5912899,5805404,6038069,6547390,6153052,6175462,6187258,6262379,6043319,6382865,6388645,6406614,6648132,6473402,6314447,6692917,6512509,6429621,6622374,6478347,6737273,6893824,6806713,6986565,7047752,6894429,6554788,7270116,7042155,7087407,7091822,7201495,6835365,7144785,6912061,7425416,7105016,7343974,8002604,7120492,7364882,7205469,7065224,7452643,6750314,7622083,8382430,6697778,7448337,6689830,7072881,6694919,6800494,6400619,7004501,6881088,6795284,6354626,5935427,6441297,6646343,7331529,6740437,6876742,7307654,6896854,6951239,7070545,7399136,8027998
강원도,135_over,5966271,6510079,5605203,5755194,6093273,5642685,5910573,5704797,5993626,6001666,4531889,5219915,5580888,5216213,5615906,5778691,4869073,6026526,5834474,6130444,5785699,5606687,6158811,5637816,5611085,5131494,5512319,5921067,5444574,5999530,5605139,5595239,5778970,6065184,5653264,5710715,5850141,6271071,6262144,6155309,6142265,6229386,6267531,6478319,6182317,6050262,5876036,6640036,6679390,6107917,6369313,7089341,6296211,6732461,6592560,6626347,7199119,6678646,7134316,6844071,6792333,7413847,7334768,6540539,7655956,7273154,8023007,6713382,6591417,7205866,7333677,6398975,6951182,8402800,7168428,6981085,5429452,5926989,7395963,6792676,6351208,6224137,7465605,7133252,6205472,6189014,7349712,6030985,6272126,7058540,7314592,6609761,6511298,7027750,7101921,6601820
경기도,under_50,9680685,9917403,10258948,10290641,10012240,10397915,10574241,10478348,11035812,10200068,10529513,10304517,10732464,11197039,10828003,10801185,11653696,11380109,11305647,10886962,10942032,10460808,11271167,11163815,11372429,11811886,11506646,11464347,11469431,11838574,11889615,12107507,12089693,12189834,12325735,12573936,12422567,12825918,12812440,12499002,12035325,12305574,12806047,12811628,13318175,13620770,13996753,13628585,14074852,13452429,13933870,13273339,12766654,13204214,13849578,13495426,14333800,14714405,14740034,15188226,14155601,14550797,14198516,14550281,15321463,16353875,15989920,14798161,13947405,14061081,14343674,15647770,17341527,15182775,13873201,13584443,13363536,13321331,12739681,12500252,13170162,14175218,14733968,15574900,14736892,15400111,15611293,16201234,15855971,15735733,15706315,14860943,13938903,15445554,17624586,16810373
경기도,50_60,9599046,9936279,10281836,10052954,9861034,10045181,10046882,10286979,10475330,10338554,10266430,10259517,10806174,11010912,10875144,10888167,11297760,11579820,11228095,10832778,10876438,10918574,10990169,11112717,11405581,11411668,11257708,11361111,11658162,11738355,11849749,11595004,11748563,11849081,11920990,12240263,11952278,12404966,12399096,12449373,12122363,12171886,12093964,12299005,12829888,12809007,13102147,13135825,12953948,13463679,13425152,12933051,12808283,13126736,13106626,13221253,13551284,14303367,14435067,14599552,13867792,14374585,14388179,14461396,15015242,16073901,15725501,14449249,13694873,13983117,14235872,14482752,17216141,15549683,14036223,13662842,13425051,12929274,12966024,12669371,13375073,14528453,16288652,16830654,15794960,16202320,16917156,17383356,17268302,16763640,16273083,14742257,14369330,15403201,17636631,17731350
경기도,60_85,9555021,10057183,10340940,10364811,10439033,10111759,10325187,10437031,10498629,10502027,10346111,10202953,10653054,10805181,10865446,10907440,10771744,11262012,11047345,10726411,10423114,10672378,10785158,11034171,11214705,11196168,11126579,11204205,11531630,11429209,11461257,11450498,11467267,11568019,11614392,11732830,11526558,12071113,12120533,12164507,11775226,11560475,11655341,11710820,12308985,12253567,12694466,12673025,12702296,13161792,13297130,12896670,12539435,12609182,12654169,12596818,13149604,13996909,13824181,14503945,13423190,13709000,13962965,14077303,15248958,16110092,15103247,14138248,13370606,13443494,13785526,14428266,16870324,14484587,13481197,12924885,12847203,12319586,12197013,12285964,12824455,13951267,15245965,15772754,15319863,15634178,16594629,17355689,16389466,15575620,15103650,13815465,13353314,14577056,16785031,17091120
경기도,85_100,10756021,10659672,10505660,10642336,10084796,9846498,10480973,10367531,10718029,10644911,10947776,10776615,10712988,14225371,13163861,12445180,12666137,11541640,11296774,11498609,11546753,11730687,11997174,11338610,12264182,11857747,11716993,11940569,12601459,12313329,12114255,12381992,11797000,12437117,12249283,12268914,12060321,12556438,13179974,13292774,13374426,13962939,13351418,13347631,13704679,12911652,12878938,13595915,13782343,13804886,14510120,13978210,14691847,16349245,13337157,13221396,13948075,15074154,13625785,14521840,14068969,15410733,14588838,15123427,16924842,19263567,16127557,15397368,14060511,13874452,14207415,15130758,17099583,15964744,14753850,14120805,13339310,13815261,12410915,14209852,14763023,16106478,18399767,18365183,18663088,18416452,18608551,20655231,17639727,16112025,16189588,14371161,15306959,16819249,19746030,20571916
경기도,100_135,10639154,10914295,11004625,11073194,11350580,11077321,10808173,11153617,11200796,10873650,12193748,11401099,11133385,11318646,11352454,11350461,11121413,11861151,11494814,11433116,11171595,11054420,11295990,11651285,11590640,11752922,11664970,11781876,11785407,11657619,11845910,11800307,11691508,11738694,11676636,11923835,11795356,11969790,12272327,12377594,11903228,11638103,11530409,11836104,12186971,12410422,12823497,12620055,12566500,13061455,13215685,13091734,12522163,12528433,12396992,12640765,13206496,13867180,13896419,14522149,13498847,13653988,13605497,14540477,15865960,16249943,14585006,13831501,13587464,13358150,13558192,14325435,16387392,14206754,13173040,12786995,12817960,12546732,11976612,12450051,12603911,13630675,15536315,16414656,15342265,15769736,16805513,17073512,15763849,14449517,14302557,13225839,12617464,14365377,16705157,16754909
경기도,135_over,11760383,10441956,11277829,11476608,11447706,10521662,10906833,10060243,8177340,11124623,12476313,11641180,11741520,11789075,10451594,10433460,10798550,11432047,10822253,10494115,10730833,10476515,10564878,11309522,11130315,10678579,10609651,11199463,10863002,11150514,11041489,11101808,11532856,11693490,11466212,11358258,11048828,10991629,11165087,11158129,11179181,11348720,11001457,11551394,11037980,10938207,11141413,11619323,11565167,12248870,11945335,11972707,12110771,11394337,12789974,11713759,11619585,12306075,11694171,12617628,12309180,12455613,12181246,12465774,13961274,14878673,13017018,12619331,12100109,11501083,11624907,12683136,14260068,12472946,12222711,12081098,12545011,11331493,11773029,12071298,12153410,12629166,13610947,13693911,14575262,12897307,14851179,14241363,13710674,12071972,12700128,11831429,11797920,12907980,15352820,14761171
경상남도,under_50,6617886,6667959,6695336,6270597,6359829,6890210,6841326,6896947,7271672,7051948,6958696,6903230,7373173,7538840,7845874,7498573,7312279,7319075,7710426,7892116,7670033,7775335,7878258,8381183,7758958,8086873,8104708,7920099,7656171,7759313,7646500,7758308,7830827,8029715,8026991,8360976,7794790,7855335,8081711,7805015,7521786,7868279,7911861,7695314,7698714,7124149,7206407,8150972,7585176,7872213,7736137,7622995,7570821,7700605,7305984,7473538,7510823,7504944,7908139,7985333,7077159,7266822,8673346,7329064,6960956,7775474,6940927,6733992,6966685,7493517,6600642,6469220,7508265,6810236,6865489,6540013,7368199,6293395,6498133,6551509,5989941,6361578,6331544,6598452,6707404,6553309,7741006,8513551,8101406,9867958,8283508,7588315,7515990,7890679,9997527,8793964
경상남도,50_60,6603399,6658198,6901022,7055271,6908507,7092242,6950644,7173017,7373821,7265067,7038182,6925085,7306245,7490246,7750492,7533085,7645302,7560856,7803703,7851654,7685245,7727144,7857093,7962099,6978561,8287032,8230439,8126834,7916625,7941725,8094696,8042893,8034226,8185182,7014398,7849108,7761182,7966785,8206433,7937587,7674940,7600913,7623759,7689296,7738786,7741502,7641591,7731597,8166039,8223298,8329435,8366146,7914786,7829631,7973167,7482739,7570123,7624738,7707842,8027690,7714078,7853603,7825861,7799098,7961287,7807343,8054605,7866819,7636053,7476654,7366094,7379634,7430234,7704931,7789754,7471994,7297887,7365495,7052265,7093751,7126059,7440124,7231721,7393776,7471769,7230767,8446203,8448084,8049078,8013072,7818595,7287456,7398877,8212437,9758464,9021736
경상남도,60_85,7031134,7387273,7354327,7103491,7099900,7441732,7450796,7525382,7828461,7681213,7532276,7426243,7721284,8032207,7971257,7967400,7989771,8007885,7932943,7972399,7906723,8096576,8163163,8101494,8343892,8444569,8369179,8332080,8237819,8371768,8411390,8346293,8284493,8268128,7747103,8347173,8367565,8612432,8595695,8524280,8288187,8186842,8136960,8024954,8029391,8166198,8252939,8307252,8376811,8781789,8916084,7812754,8612362,8508318,8356351,8128705,8134900,8183984,8116824,8505666,8592590,8561232,8521101,8435682,8454163,8823597,8574713,8319869,8095338,8386932,7888561,7978906,8261449,8850268,8492330,7644654,8180316,8344302,8297177,8374409,8151614,8377332,8348604,8611470,8462726,8561863,9385527,9770065,9089299,9327939,9034362,8525582,8638620,9436367,11064553,10297222
경상남도,85_100,6664538,7621905,7296497,6641908,7270964,6726602,7159964,6712245,6673314,7064288,6493891,6322153,8132746,7281791,7449046,6991043,7405976,7545292,7722120,7724360,7552559,8081783,7057077,7574919,7474287,7227315,7207388,7663140,8425264,8276504,7661148,7261376,7913457,8301826,7118887,8268576,8641292,7968778,7731263,8619524,7606427,7134065,7658379,7498036,8222121,7912395,7750705,8201221,8594175,8036928,8941143,8782088,7868053,8068952,8144995,8244996,7683168,7382739,7473894,9939881,9362252,9166414,8796390,9026705,10206918,8772575,8942901,9194700,8501547,8818309,7036200,9321445,8146358,10195174,8426728,8039707,7826571,9072226,8540209,8103842,8756895,7864584,7381628,9255172,9113052,8894289,9508184,11223638,9649879,9433290,8722932,9034463,8503872,9728080,11136663,11272536
경상남도,100_135,7920514,7853644,8058324,8181265,8320909,8067026,7863455,8271716,8217709,8244476,7913192,8372306,8627011,9097917,8838041,8501149,8824503,9049719,8791533,9021627,9031919,8767430,8733193,8620404,8759673,8814497,9126698,9047596,8683295,9169951,8566978,8810653,8791386,8648638,8951698,8982089,9122101,9101519,9356493,9167480,8890961,8313253,8730548,8646857,8942604,8488271,8995328,8613009,9085935,9162793,9132495,9174930,9166960,8869119,8742655,8600786,8789905,8491221,8535785,8557220,8948703,9202461,9314987,9327439,8411260,8939451,8968189,8876609,8891982,8814707,8723516,8943260,9136771,9286431,9219593,8574380,9301690,8608010,9340501,8995945,8804039,9204591,9366575,8998549,9151879,9375626,10185491,10857683,9651004,9622924,10030748,9163323,8728895,9662419,11160328,10580344
경상남도,135_over,7670136,7889401,8064555,8409463,8796329,7673978,8319697,7751145,8550619,8976781,8440051,8764633,8244158,9406128,8733254,8599735,8678314,8651091,8428469,8389020,8847279,8233249,8378859,8501093,8161343,9412005,8850111,9172289,8284913,8472808,7947632,7718747,8277916,8967537,9039820,8194502,8748602,8278602,9406982,8956661,9677295,7571867,8432460,8725744,7699626,8120995,8350593,7902137,8277385,8034970,8739506,8196092,8247504,8013422,8094058,8519427,8286860,7642516,8124251,8637611,8476613,7770245,8353568,6446491,9555666,7982946,8722854,8284776,8869063,8460553,7822216,8394245,8041806,7685033,8569642,8571122,8525344,7106961,8163981,8391725,7949319,8604170,7687355,8219599,8205003,7112377,8488811,9400086,8543747,7739093,7989513,8272624,7567551,8040578,10164966,8858213
