region,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
강원도,0,0,0,0,0,0,0,0,0
경기도,12796216,13453613,13578821,13684281,14812568,16424642,16506220,21771261,18716357
경상남도,10759983,10775361,11150230,11125783,10878730,10224536,9397641,9844829,10932060
경상북도,0,0,0,9717314,10744201,11967012,11288322,12547971,13544201
광주광역시,8067631,8399219,9086216,10594040,10974663,11184430,11844527,12935584,13556124
대구광역시,9799903,9974551,11524118,13956364,14676303,15826261,18076107,18807187,19946162
대전광역시,10217179,9693435,9982234,11117174,11729472,12096717,12531677,13558236,16224588
부산광역시,13142033,12402625,13539375,15153935,16489789,18705934,18339586,19796612,21668286
서울특별시,32284052,28810419,29358871,30197595,29727933,32862535,37266745,49019007,51200766
세종특별자치시,7943517,7709436,7356598,6732384,6739104,7026453,6990573,6838827,7694445
울산광역시,0,12549061,12543673,13985183,14846524,15499944,15572750,14877088,16849313
인천광역시,11520874,11053692,11203690,11464592,12443338,13100600,13480431,13640867,14773506
전라남도,0,0,0,0,0,0,0,0,0
전라북도,9212828,8748926,8585522,8603935,8813895,8975070,9362557,11058352,12182727
제주특별자치도,0,0,0,0,0,0,0,0,0
충청남도,7645973,7601163,7995638,7703872,7449691,7098962,6765584,8464628,8868058
충청북도,0,0,0,0,0,9861500,9671075,10276315,10949879
