region,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
강원도,0,0,0,0,0,0,0,0,0
경기도,755,2541,2476,3174,2784,2475,3041,3448,3373
경상남도,113,466,538,493,324,224,245,367,343
경상북도,0,0,0,1,12,64,63,276,270
광주광역시,88,222,300,176,150,243,234,151,130
대구광역시,49,139,93,151,109,337,296,265,257
대전광역시,43,98,149,157,148,173,198,272,134
부산광역시,92,528,488,567,537,298,257,563,468
서울특별시,142,594,839,1182,1356,1737,1268,1527,729
세종특별자치시,71,107,84,133,159,138,125,96,229
울산광역시,0,19,47,57,56,60,33,122,71
인천광역시,220,567,663,836,656,635,597,721,798
전라남도,0,0,0,0,0,0,0,0,0
전라북도,25,65,103,90,84,78,100,127,114
제주특별자치도,0,0,0,0,0,0,0,0,0
충청남도,88,235,309,216,128,138,168,211,218
충청북도,0,0,0,0,0,1,34,289,334
